"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.950730310E-1,-1.331579551E-4,-6.657897611E-4,-9.321057005E-4,1.153181722E-3
1.975918850E-1,-1.331579551E-4,-6.657897611E-4,2.263685223E-3,2.363319241E-3
2.001107390E-1,-1.331579551E-4,-6.657897611E-4,1.331579551E-4,6.919090172E-4
2.026295410E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
2.051745410E-1,-1.331579551E-4,3.994738800E-4,1.198421582E-3,1.270245925E-3
2.077195410E-1,9.321057005E-4,-6.657897611E-4,1.198421582E-3,1.657803164E-3
2.102645410E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
2.128095410E-1,-1.198421582E-3,3.994738800E-4,-9.321057005E-4,1.569909139E-3
2.153545410E-1,-1.331579551E-4,-2.796316985E-3,-3.062632866E-3,4.149317992E-3
2.178995410E-1,-1.331579551E-4,-3.861580743E-3,-9.321057005E-4,3.974714821E-3
2.204445410E-1,9.321057005E-4,-1.731053460E-3,1.331579551E-4,1.970557830E-3
2.229895410E-1,9.321057005E-4,2.530001104E-3,4.394212738E-3,5.155466245E-3
2.254445410E-1,-1.331579551E-4,1.464737463E-3,1.198421582E-3,1.897208782E-3
2.278995410E-1,-1.331579551E-4,3.994738800E-4,2.263685223E-3,2.302516278E-3
2.304126660E-1,-2.263685223E-3,3.994738800E-4,1.198421582E-3,2.592308711E-3
2.329324060E-1,9.321057005E-4,-1.731053460E-3,-9.321057005E-4,2.175818962E-3
2.354521970E-1,9.321057005E-4,-6.657897611E-4,1.198421582E-3,1.657803164E-3
2.379719370E-1,-1.331579551E-4,3.994738800E-4,2.263685223E-3,2.302516278E-3
2.404917290E-1,-1.198421582E-3,3.994738800E-4,-9.321057005E-4,1.569909139E-3
2.430114680E-1,9.321057005E-4,-6.657897611E-4,1.331579551E-4,1.153181722E-3
2.455564680E-1,-1.331579551E-4,-6.657897611E-4,-9.321057005E-4,1.153181722E-3
2.481014680E-1,9.321057005E-4,1.464737463E-3,-1.997369342E-3,2.646462008E-3
2.506464680E-1,9.321057005E-4,1.464737463E-3,1.198421582E-3,2.109618724E-3
2.531914680E-1,9.321057005E-4,3.994738800E-4,3.328948980E-3,3.479985881E-3
2.557364680E-1,-1.331579551E-4,1.464737463E-3,2.263685223E-3,2.699529156E-3
2.582814680E-1,-1.331579551E-4,-6.657897611E-4,-9.321057005E-4,1.153181722E-3
2.608264680E-1,9.321057005E-4,3.994738800E-4,1.198421582E-3,1.569909139E-3
2.633714680E-1,1.997369342E-3,3.994738800E-4,1.331579551E-4,2.041272816E-3
2.659164680E-1,-1.331579551E-4,1.464737463E-3,-4.127896391E-3,4.382090311E-3
2.684614680E-1,-1.331579551E-4,-6.657897611E-4,-3.062632866E-3,3.136993325E-3
2.709950620E-1,9.321057005E-4,-6.657897611E-4,3.328948980E-3,3.520511093E-3
2.735203220E-1,-1.198421582E-3,-6.657897611E-4,1.198421582E-3,1.820907626E-3
2.760455830E-1,-1.198421582E-3,2.530001104E-3,1.331579551E-4,2.802650694E-3
2.785708430E-1,9.321057005E-4,3.595264861E-3,1.198421582E-3,3.902686863E-3
2.810961040E-1,-1.331579551E-4,3.994738800E-4,1.198421582E-3,1.270245925E-3
2.836213640E-1,9.321057005E-4,3.994738800E-4,1.331579551E-4,1.022805680E-3
2.861324580E-1,-1.331579551E-4,1.464737463E-3,2.263685223E-3,2.699529156E-3
2.886574060E-1,9.321057005E-4,-6.657897611E-4,-9.321057005E-4,1.476793174E-3
2.911823020E-1,-1.198421582E-3,3.994738800E-4,1.331579551E-4,1.270245925E-3
2.937071970E-1,-1.198421582E-3,1.464737463E-3,-9.321057005E-4,2.109618724E-3
2.962320930E-1,-1.198421582E-3,1.464737463E-3,-9.321057005E-4,2.109618724E-3
2.987569890E-1,-1.198421582E-3,-6.657897611E-4,-9.321057005E-4,1.657803164E-3
3.012819370E-1,-1.331579551E-4,1.464737463E-3,2.263685223E-3,2.699529156E-3
3.038067810E-1,-1.331579551E-4,3.595264861E-3,-9.321057005E-4,3.716514698E-3
3.063203220E-1,-1.331579551E-4,1.464737463E-3,1.331579551E-4,1.476793119E-3
3.088449060E-1,-3.328948980E-3,-2.796316985E-3,-1.997369342E-3,4.784430403E-3
3.113694890E-1,-2.263685223E-3,2.530001104E-3,-9.321057005E-4,3.520510959E-3
3.138941250E-1,-1.198421582E-3,-6.657897611E-4,1.331579551E-4,1.377396578E-3
3.164187600E-1,-1.331579551E-4,-6.657897611E-4,1.331579551E-4,6.919090172E-4
3.189433430E-1,-1.331579551E-4,3.994738800E-4,1.331579551E-4,4.416349882E-4
3.214680310E-1,-1.198421582E-3,-1.731053460E-3,1.331579551E-4,2.109618783E-3
3.239926140E-1,-1.331579551E-4,3.994738800E-4,1.331579551E-4,4.416349882E-4
3.264476140E-1,-1.331579551E-4,3.994738800E-4,-9.321057005E-4,1.022805680E-3
3.289026140E-1,-1.331579551E-4,2.530001104E-3,-9.321057005E-4,2.699529156E-3
